O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
10.8,5.7,1454.0,0.83,10.843,2.28,1.05,0,0.5,98.0
6.1,2.34,2702.3,1.81,19.337,2.68,1.46,0,1.0,168.0
8.8,0.93,1207.3,0.55,70.909,1.8,1.05,0,0.2,77.8
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,3.0,127.9
14.02,1.93,3292.0,1.54,69.481,1.87,1.048,0,5.0,79.7
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,8.0,90.0
14.26,1.82,3166.0,1.7,51.765,2.15,1.044,0,5.0,58.7
10.45,2.44,2993.2,1.71,53.216,2.29,0.91,0,0.1,193.0
9.75,7.83,2370.0,2.18,28.987,3.68,0.85,1,0.2,250.0
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,7.0,107.5
5.52,0.89,2276.0,1.331,20.962,2.34,0.872,0,2.0,86.8
6.98,2.3,2353.0,2.14,37.85,3.64,2.18,1,0.1,158.6
5.5,2.53,947.0,0.54,50.0,2.27,0.855,0,20.0,71.0
14.02,1.93,3292.0,1.54,69.481,1.87,1.048,0,1.0,99.4
10.45,2.44,2993.2,1.71,53.216,2.29,0.91,0,2.0,120.9
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,40.0,68.8
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,3.0,74.2
20.61,3.95,544.8,0.26,95.446,1.91,0.96,0,0.4,93.0
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,5.0,88.7
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,10.0,65.7
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,40.0,66.9
11.38,8.71,499.8,0.504,20.488,4.04,1.07,0,0.5,96.6
9.33,6.25,1021.0,1.07,67.973,4.19,0.84,1,0.2,122.3
8.42,1.64,1949.0,1.133,45.808,2.33,0.917,0,5.0,101.9
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,2.0,94.5
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,4.0,86.4
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,20.0,88.9
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,0.2,155.0
4.2,6.3,543.0,0.9,11.111,6.63,0.99,0,5.0,78.4
6.93,1.98,3415.3,2.482,15.995,2.91,2.82,0,60.0,105.9
