O,N,SSA,PV,RMIC,Dap,IDperIG,M,Anion,AML,PW,CD,Cs
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,0.5,114.4
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,1.0,108.9
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,2.0,99.4
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,3.0,95.6
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,4.0,91.1
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,5.0,89.9
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,10.0,83.3
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,15.0,80.8
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,20.0,76.6
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,30.0,73.3
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,40.0,68.8
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,50.0,65.2
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,0.2,67.8
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,0.5,59.8
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,1.0,56.8
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,2.0,53.2
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,3.0,51.7
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,4.0,49.9
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,5.0,49.2
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,10.0,45.5
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,15.0,43.7
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,20.0,41.1
6.42,2.75,1301.6,3.04,9.71880762138906,9.342347879532884,0.92,2,1,2.5,1.6,30.0,37.4
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,0.1,52.9
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,0.2,48.7
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,0.5,43.8
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,1.0,40.0
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,2.0,36.5
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,5.0,31.4
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,10.0,26.9
4.77,0.0,1644.0,0.96,57.08333333333334,2.335766423357664,1.06,1,1,1.77,1.6,20.0,21.4
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,0.1,230.0
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,0.2,165.0
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,0.5,150.0
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,1.0,137.0
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,2.0,127.0
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,5.0,122.0
9.1,3.1,1055.0,0.95,36.84210526315789,3.6018957345971563,1.06,2,1,1.0,1.7,10.0,118.0
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,0.5,181.0
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,1.0,153.3
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,2.0,137.2
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,3.0,130.2
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,5.0,121.7
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,10.0,110.4
6.1,7.2,1843.0,1.1,30.909090909090907,2.387411828540423,1.01,2,1,1.0,1.6,15.0,104.0
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,0.5,110.0
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,1.0,97.8
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,2.0,89.8
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,3.0,84.9
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,5.0,78.4
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,10.0,67.2
4.2,6.3,543.0,0.9,11.111111111111112,6.629834254143646,0.99,2,1,1.0,1.6,15.0,58.2
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,0.5,98.0
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,1.0,81.7
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,2.0,72.2
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,3.0,67.0
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,5.0,60.7
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,10.0,50.9
10.8,5.7,1454.0,0.83,10.843373493975903,2.283356258596974,1.05,2,1,1.0,1.6,15.0,45.1
9.33,6.25,1021.0,1.07,67.97257590597454,4.191968658178257,0.84,3,0,10.0,1.8,0.2,122.3
9.33,6.25,1021.0,1.07,67.97257590597454,4.191968658178257,0.84,3,0,10.0,1.8,0.5,108.1
9.33,6.25,1021.0,1.07,67.97257590597454,4.191968658178257,0.84,3,0,10.0,1.8,1.0,103.8
